"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Mar 12 17:41:26 UTC 2026","Thu Mar 12 17:41:27 UTC 2026","470","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidPassword","SC10 - Invalid password should be rejected",""
"passed","Thu Mar 12 17:41:44 UTC 2026","Thu Mar 12 17:41:44 UTC 2026","701","Player API Tests","Player Tests","com.player.tests.DeletePlayerTest","com.player.tests.DeletePlayerTest","shouldReturn403WhenDeletingTwice","DEL07 - Should return 403 when deleting already deleted player",""
"failed","Thu Mar 12 17:41:26 UTC 2026","Thu Mar 12 17:41:27 UTC 2026","471","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidGender","SC11 - Invalid gender should be rejected",""
"passed","Thu Mar 12 17:41:29 UTC 2026","Thu Mar 12 17:41:29 UTC 2026","472","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidRole","SC12 - Invalid role should be rejected",""
"failed","Thu Mar 12 17:41:23 UTC 2026","Thu Mar 12 17:41:25 UTC 2026","1186","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowDuplicateScreenName","SC07 - Duplicate screenName should be rejected and no new player should be created",""
"failed","Thu Mar 12 17:41:34 UTC 2026","Thu Mar 12 17:41:34 UTC 2026","236","Player API Tests","Player Tests","com.player.tests.GetPlayerTest","com.player.tests.GetPlayerTest","shouldReturn404ForInvalidId","GET-02 - Should return 404 for invalid player id",""
"passed","Thu Mar 12 17:41:38 UTC 2026","Thu Mar 12 17:41:38 UTC 2026","465","Player API Tests","Player Tests","com.player.tests.UpdatePlayerTest","com.player.tests.UpdatePlayerTest","shouldUpdateOnlyScreenName","UPD02 - Should update only screenName, other fields unchanged",""
"failed","Thu Mar 12 17:41:25 UTC 2026","Thu Mar 12 17:41:26 UTC 2026","469","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidGender","SC11 - Invalid gender should be rejected",""
"failed","Thu Mar 12 17:41:27 UTC 2026","Thu Mar 12 17:41:27 UTC 2026","473","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidGender","SC11 - Invalid gender should be rejected",""
"passed","Thu Mar 12 17:41:29 UTC 2026","Thu Mar 12 17:41:29 UTC 2026","462","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidGender","SC11 - Invalid gender should be rejected",""
"passed","Thu Mar 12 17:41:11 UTC 2026","Thu Mar 12 17:41:22 UTC 2026","11736","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldCreateAdminBySupervisor","SC04 - Supervisor creates admin user",""
"failed","Thu Mar 12 17:41:30 UTC 2026","Thu Mar 12 17:41:30 UTC 2026","457","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidRole","SC12 - Invalid role should be rejected",""
"failed","Thu Mar 12 17:41:27 UTC 2026","Thu Mar 12 17:41:28 UTC 2026","472","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowInvalidGender","SC11 - Invalid gender should be rejected",""
"passed","Thu Mar 12 17:41:35 UTC 2026","Thu Mar 12 17:41:35 UTC 2026","230","Player API Tests","Player Tests","com.player.tests.GetAllPlayersTest","com.player.tests.GetAllPlayersTest","playerIdsShouldBeUnique","GETALL-03 - All player ids in the list should be unique",""
"passed","Thu Mar 12 17:41:41 UTC 2026","Thu Mar 12 17:41:41 UTC 2026","688","Player API Tests","Player Tests","com.player.tests.DeletePlayerTest","com.player.tests.DeletePlayerTest","adminShouldDeleteHimself","DEL04 - Admin should be able to delete himself",""
"failed","Thu Mar 12 17:41:39 UTC 2026","Thu Mar 12 17:41:40 UTC 2026","682","Player API Tests","Player Tests","com.player.tests.UpdatePlayerTest","com.player.tests.UpdatePlayerTest","userShouldNotUpdateAnotherUser","UPD04 - User should not be allowed to update another user",""
"failed","Thu Mar 12 17:41:34 UTC 2026","Thu Mar 12 17:41:34 UTC 2026","237","Player API Tests","Player Tests","com.player.tests.GetPlayerTest","com.player.tests.GetPlayerTest","shouldReturn404ForInvalidId","GET-02 - Should return 404 for invalid player id",""
"passed","Thu Mar 12 17:41:37 UTC 2026","Thu Mar 12 17:41:38 UTC 2026","463","Player API Tests","Player Tests","com.player.tests.UpdatePlayerTest","com.player.tests.UpdatePlayerTest","shouldUpdateAllFields","UPD01 - Should update age, gender, login, screenName",""
"passed","Thu Mar 12 17:41:35 UTC 2026","Thu Mar 12 17:41:36 UTC 2026","462","Player API Tests","Player Tests","com.player.tests.GetAllPlayersTest","com.player.tests.GetAllPlayersTest","shouldContainCreatedPlayer","GETALL-02 - Created player should appear in get all players response",""
"failed","Thu Mar 12 17:41:34 UTC 2026","Thu Mar 12 17:41:34 UTC 2026","228","Player API Tests","Player Tests","com.player.tests.GetPlayerTest","com.player.tests.GetPlayerTest","shouldReturn404ForInvalidId","GET-02 - Should return 404 for invalid player id",""
"failed","Thu Mar 12 17:41:23 UTC 2026","Thu Mar 12 17:41:24 UTC 2026","975","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldNotAllowDuplicateLogin","SC06 - Duplicate login should be rejected and existing player data should not be overwritten",""
"passed","Thu Mar 12 17:41:31 UTC 2026","Thu Mar 12 17:41:32 UTC 2026","921","Player API Tests","Player Tests","com.player.tests.GetPlayerTest","com.player.tests.GetPlayerTest","getPlayerShouldBeIdempotent","GET04 - Multiple GET requests for the same player should return identical results",""
"passed","Thu Mar 12 17:41:11 UTC 2026","Thu Mar 12 17:41:12 UTC 2026","1761","Player API Tests","Player Tests","com.player.tests.CreatePlayerTest","com.player.tests.CreatePlayerTest","shouldAllowValidAge","SC08 - Valid age should be accepted",""
"failed","Thu Mar 12 17:41:36 UTC 2026","Thu Mar 12 17:41:37 UTC 2026","689","Player API Tests","Player Tests","com.player.tests.UpdatePlayerTest","com.player.tests.UpdatePlayerTest","shouldRejectDuplicateLogin","UPD05 - Should reject update when login already exists with 403, returns undocumented 409",""
"passed","Thu Mar 12 17:41:41 UTC 2026","Thu Mar 12 17:41:42 UTC 2026","941","Player API Tests","Player Tests","com.player.tests.DeletePlayerTest","com.player.tests.DeletePlayerTest","adminShouldDeleteUser","DEL03 - Admin should be able to delete a user",""
"passed","Thu Mar 12 17:41:34 UTC 2026","Thu Mar 12 17:41:44 UTC 2026","10467","Player API Tests","Player Tests","com.player.tests.GetPlayerTest","com.player.tests.GetPlayerTest","shouldReturnPlayerById","GET-01 - Should return player by id",""
